record,subsystem,category,on_css,in_profile,in_baseline,css_fields,css_screens,profile_device,profile_dotted,classname,read_only
VFM:GET-STATUS4,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch4_status,EpicsSignalRO,RO
VFM:GET-STATUS5,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch5_status,EpicsSignalRO,RO
VFM:GET-STATUS6,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch6_status,EpicsSignalRO,RO
VFM:GET-STATUS7,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch7_status,EpicsSignalRO,RO
VFM:GET-STATUS8,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch8_status,EpicsSignalRO,RO
VFM:GET-STATUS9,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch9_status,EpicsSignalRO,RO
VFM:GET-VOUT0,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch0,EpicsSignal,RW
VFM:GET-VOUT1,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch1,EpicsSignal,RW
VFM:GET-VOUT10,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch10,EpicsSignal,RW
VFM:GET-VOUT11,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch11,EpicsSignal,RW
VFM:GET-VOUT12,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch12,EpicsSignal,RW
VFM:GET-VOUT13,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch13,EpicsSignal,RW
VFM:GET-VOUT14,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch14,EpicsSignal,RW
VFM:GET-VOUT15,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch15,EpicsSignal,RW
VFM:GET-VOUT2,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch2,EpicsSignal,RW
